,identifier,status_of_existing_account,duration_in_month,credit_his,purpose,credit_amt,saving_account,preset_emp,installment_rate,personal_status_and_sex,guarantors
871,871,A13,6,A34,A40,1343,A61,A75,1,A93,A101
872,872,A11,24,A34,A49,1382,A62,A74,4,A93,A101
873,873,A14,15,A32,A44,874,A65,A72,4,A92,A101
874,874,A11,12,A32,A42,3590,A61,A73,2,A93,A102
875,875,A12,11,A34,A40,1322,A64,A73,4,A92,A101
876,876,A11,18,A31,A43,1940,A61,A72,3,A93,A102
877,877,A14,36,A32,A43,3595,A61,A75,4,A93,A101
878,878,A11,9,A32,A40,1422,A61,A72,3,A93,A101
879,879,A14,30,A34,A43,6742,A65,A74,2,A93,A101
880,880,A14,24,A32,A41,7814,A61,A74,3,A93,A101
881,881,A14,24,A32,A41,9277,A65,A73,2,A91,A101
882,882,A12,30,A34,A40,2181,A65,A75,4,A93,A101
883,883,A14,18,A34,A43,1098,A61,A71,4,A92,A101
884,884,A12,24,A32,A42,4057,A61,A74,3,A91,A101
885,885,A11,12,A32,A46,795,A61,A72,4,A92,A101
886,886,A12,24,A34,A49,2825,A65,A74,4,A93,A101
887,887,A12,48,A32,A49,15672,A61,A73,2,A93,A101
888,888,A14,36,A34,A40,6614,A61,A75,4,A93,A101
889,889,A14,28,A31,A41,7824,A65,A72,3,A93,A103
890,890,A11,27,A34,A49,2442,A61,A75,4,A93,A101
891,891,A14,15,A34,A43,1829,A61,A75,4,A93,A101
892,892,A11,12,A34,A40,2171,A61,A73,4,A93,A101
893,893,A12,36,A34,A41,5800,A61,A73,3,A93,A101
894,894,A14,18,A34,A43,1169,A65,A73,4,A93,A101
895,895,A14,36,A33,A41,8947,A65,A74,3,A93,A101
896,896,A11,21,A32,A43,2606,A61,A72,4,A92,A101
897,897,A14,12,A34,A42,1592,A64,A74,3,A92,A101
898,898,A14,15,A32,A42,2186,A65,A74,1,A92,A101
899,899,A11,18,A32,A42,4153,A61,A73,2,A93,A102
900,900,A11,16,A34,A40,2625,A61,A75,2,A93,A103
901,901,A14,20,A34,A40,3485,A65,A72,2,A91,A101
902,902,A14,36,A34,A41,10477,A65,A75,2,A93,A101
903,903,A14,15,A32,A43,1386,A65,A73,4,A94,A101
904,904,A14,24,A32,A43,1278,A61,A75,4,A93,A101
905,905,A11,12,A32,A43,1107,A61,A73,2,A93,A101
906,906,A11,21,A32,A40,3763,A65,A74,2,A93,A102
907,907,A12,36,A32,A46,3711,A65,A73,2,A94,A101
908,908,A14,15,A33,A41,3594,A61,A72,1,A92,A101
909,909,A12,9,A32,A40,3195,A65,A73,1,A92,A101
910,910,A14,36,A33,A43,4454,A61,A73,4,A92,A101
911,911,A12,24,A34,A42,4736,A61,A72,2,A92,A101
912,912,A12,30,A32,A43,2991,A65,A75,2,A92,A101
913,913,A14,11,A32,A49,2142,A64,A75,1,A91,A101
914,914,A11,24,A31,A49,3161,A61,A73,4,A93,A101
915,915,A12,48,A30,A410,18424,A61,A73,1,A92,A101
916,916,A14,10,A32,A41,2848,A62,A73,1,A93,A102
917,917,A11,6,A32,A40,14896,A61,A75,1,A93,A101
918,918,A11,24,A32,A42,2359,A62,A71,1,A91,A101
919,919,A11,24,A32,A42,3345,A61,A75,4,A93,A101
920,920,A14,18,A34,A42,1817,A61,A73,4,A92,A101
921,921,A14,48,A33,A43,12749,A63,A74,4,A93,A101
922,922,A11,9,A32,A43,1366,A61,A72,3,A92,A101
923,923,A12,12,A32,A40,2002,A61,A74,3,A93,A101
924,924,A11,24,A31,A42,6872,A61,A72,2,A91,A101
925,925,A11,12,A31,A40,697,A61,A72,4,A93,A101
926,926,A11,18,A34,A42,1049,A61,A72,4,A92,A101
927,927,A11,48,A32,A41,10297,A61,A74,4,A93,A101
928,928,A14,30,A32,A43,1867,A65,A75,4,A93,A101
929,929,A11,12,A33,A40,1344,A61,A73,4,A93,A101
930,930,A11,24,A32,A42,1747,A61,A72,4,A93,A102
931,931,A12,9,A32,A43,1670,A61,A72,4,A92,A101
932,932,A14,9,A34,A40,1224,A61,A73,3,A93,A101
933,933,A14,12,A34,A43,522,A63,A75,4,A93,A101
934,934,A11,12,A32,A43,1498,A61,A73,4,A92,A101
935,935,A12,30,A33,A43,1919,A62,A72,4,A93,A101
936,936,A13,9,A32,A43,745,A61,A73,3,A92,A101
937,937,A12,6,A32,A43,2063,A61,A72,4,A94,A101
938,938,A12,60,A32,A46,6288,A61,A73,4,A93,A101
939,939,A14,24,A34,A41,6842,A65,A73,2,A93,A101
940,940,A14,12,A32,A40,3527,A65,A72,2,A93,A101
941,941,A14,10,A32,A40,1546,A61,A73,3,A93,A101
942,942,A14,24,A32,A42,929,A65,A74,4,A93,A101
943,943,A14,4,A34,A40,1455,A61,A74,2,A93,A101
944,944,A11,15,A32,A42,1845,A61,A72,4,A92,A103
945,945,A12,48,A30,A40,8358,A63,A72,1,A92,A101
946,946,A11,24,A31,A42,3349,A63,A72,4,A93,A101
947,947,A14,12,A32,A40,2859,A65,A71,4,A93,A101
948,948,A14,18,A32,A42,1533,A61,A72,4,A94,A102
949,949,A14,24,A32,A43,3621,A62,A75,2,A93,A101
950,950,A12,18,A34,A49,3590,A61,A71,3,A94,A101
951,951,A11,36,A33,A49,2145,A61,A74,2,A93,A101
952,952,A12,24,A32,A41,4113,A63,A72,3,A92,A101
953,953,A14,36,A32,A42,10974,A61,A71,4,A92,A101
954,954,A11,12,A32,A40,1893,A61,A73,4,A92,A103
955,955,A11,24,A34,A43,1231,A64,A75,4,A92,A101
956,956,A13,30,A34,A43,3656,A65,A75,4,A93,A101
957,957,A12,9,A34,A43,1154,A61,A75,2,A93,A101
958,958,A11,28,A32,A40,4006,A61,A73,3,A93,A101
959,959,A12,24,A32,A42,3069,A62,A75,4,A93,A101
960,960,A14,6,A34,A43,1740,A61,A75,2,A94,A101
961,961,A12,21,A33,A40,2353,A61,A73,1,A91,A101
962,962,A14,15,A32,A40,3556,A65,A73,3,A93,A101
963,963,A14,24,A32,A43,2397,A63,A75,3,A93,A101
964,964,A12,6,A32,A45,454,A61,A72,3,A94,A101
965,965,A12,30,A32,A43,1715,A65,A73,4,A92,A101
966,966,A12,27,A34,A43,2520,A63,A73,4,A93,A101
967,967,A14,15,A32,A43,3568,A61,A75,4,A92,A101
968,968,A14,42,A32,A43,7166,A65,A74,2,A94,A101
969,969,A11,11,A34,A40,3939,A61,A73,1,A93,A101
970,970,A12,15,A32,A45,1514,A62,A73,4,A93,A103
971,971,A14,24,A32,A40,7393,A61,A73,1,A93,A101
972,972,A11,24,A31,A40,1193,A61,A71,1,A92,A102
973,973,A11,60,A32,A49,7297,A61,A75,4,A93,A102
974,974,A14,30,A34,A43,2831,A61,A73,4,A92,A101
975,975,A13,24,A32,A43,1258,A63,A73,3,A92,A101
976,976,A12,6,A32,A43,753,A61,A73,2,A92,A103
977,977,A12,18,A33,A49,2427,A65,A75,4,A93,A101
978,978,A14,24,A33,A40,2538,A61,A75,4,A93,A101
979,979,A12,15,A31,A40,1264,A62,A73,2,A94,A101
980,980,A12,30,A34,A42,8386,A61,A74,2,A93,A101
981,981,A14,48,A32,A49,4844,A61,A71,3,A93,A101
982,982,A13,21,A32,A40,2923,A62,A73,1,A92,A101
983,983,A11,36,A32,A41,8229,A61,A73,2,A93,A101
984,984,A14,24,A34,A42,2028,A61,A74,2,A93,A101
985,985,A11,15,A34,A42,1433,A61,A73,4,A92,A101
986,986,A13,42,A30,A49,6289,A61,A72,2,A91,A101
987,987,A14,13,A32,A43,1409,A62,A71,2,A92,A101
988,988,A11,24,A32,A41,6579,A61,A71,4,A93,A101
989,989,A12,24,A34,A43,1743,A61,A75,4,A93,A101
990,990,A14,12,A34,A46,3565,A65,A72,2,A93,A101
991,991,A14,15,A31,A43,1569,A62,A75,4,A93,A101
992,992,A11,18,A32,A43,1936,A65,A74,2,A94,A101
993,993,A11,36,A32,A42,3959,A61,A71,4,A93,A101
994,994,A14,12,A32,A40,2390,A65,A75,4,A93,A101
995,995,A14,12,A32,A42,1736,A61,A74,3,A92,A101
996,996,A11,30,A32,A41,3857,A61,A73,4,A91,A101
997,997,A14,12,A32,A43,804,A61,A75,4,A93,A101
998,998,A11,45,A32,A43,1845,A61,A73,4,A93,A101
999,999,A12,45,A34,A41,4576,A62,A71,3,A93,A101
